show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s4961,Movie,Prelude to War,Frank Capra,,United States,"March 31, 2017",1942,TV-14,52 min,"Classic Movies, Documentaries","Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty."
s6118,Movie,The Battle of Midway,John Ford,"Henry Fonda, Jane Darwell",United States,"March 31, 2017",1942,TV-14,18 min,"Classic Movies, Documentaries","Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific."
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s7343,Movie,Undercover: How to Operate Behind Enemy Lines,John Ford,,United States,"March 31, 2017",1943,TV-PG,61 min,"Classic Movies, Documentaries",This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.
s7617,Movie,Why We Fight: The Battle of Russia,"Frank Capra, Anatole Litvak",,United States,"March 31, 2017",1943,TV-PG,82 min,Documentaries,This installment of Frank Capra's acclaimed documentary series highlights the need for a Russo-American alliance to defeat the Nazis.
s7680,Movie,WWII: Report from the Aleutians,John Huston,,United States,"March 31, 2017",1943,TV-PG,45 min,Documentaries,Filmmaker John Huston narrates this Oscar-nominated World War II-era film about life among the U.S. soldiers protecting Alaskaâ€™s Aleutian Islands.
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s6658,Movie,"The Memphis Belle: A Story of a
Flying Fortress",William Wyler,,United States,"March 31, 2017",1944,TV-PG,40 min,"Classic Movies, Documentaries",This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing mission over Germany.
s6700,Movie,The Negro Soldier,Stuart Heisler,,United States,"March 31, 2017",1944,TV-14,40 min,"Classic Movies, Documentaries",This documentary urged African Americans to enlist and join in the effort to be part of America's continuing fight in World War II.
s7269,Movie,Tunisian Victory,"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",Burgess Meredith,"United States, United Kingdom","March 31, 2017",1944,TV-14,76 min,"Classic Movies, Documentaries","British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner."
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s3426,Movie,Know Your Enemy - Japan,"Frank Capra, Joris Ivens","Walter Huston, Dana Andrews",United States,"March 31, 2017",1945,TV-14,63 min,"Classic Movies, Documentaries","Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s."
s4437,Movie,Nazi Concentration Camps,George Stevens,,United States,"March 31, 2017",1945,TV-MA,59 min,"Classic Movies, Documentaries","Shocking footage shows Nazi concentration camps after liberation, including Buchenwald and Ohrdruf, where Gen. Eisenhower ordered local Nazis to tour."
s5372,Movie,San Pietro,John Huston,,United States,"March 31, 2017",1945,TV-14,32 min,"Classic Movies, Documentaries","After the Allies invade Italy, the Liri Valley town of San Pietro becomes an example of the brutal effects of combat, both for soldiers and civilians."
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s3609,Movie,Let There Be Light,John Huston,Walter Huston,United States,"March 31, 2017",1946,TV-PG,58 min,"Classic Movies, Documentaries",Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment.
s4867,TV Show,Pioneers of African-American Cinema,"Oscar Micheaux, Spencer Williams, Richard E. Norman, Richard Maurice",,United States,"February 1, 2017",1946,TV-14,1 Season,TV Shows,This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
